title,description,steps_to_reproduce,expected,actual,severity,component,status
"Guest browsing Find Mentors triggers an infinite reload loop","GET /reviews and GET /availability were fully auth-gated, and the frontend axios interceptor reloaded the page on ANY 401 response, including a guest's who never had a token to refresh in the first place.","As a guest (no login), go to Find Mentors, click View or Book on any mentor card.","Mentor profile / booking page loads normally.","Page loads, 401s, reloads, loops indefinitely.","Critical","Frontend","Resolved"
"Mentee interview completion links to a 404 dashboard route","The frontend called a removed/nonexistent endpoint to finalize the interview->dashboard hand-off after AI interview completion.","Complete the mentee AI interview end to end and follow the resulting link to the dashboard.","Mentee lands on their dashboard with the interview-derived profile visible.","404 — the linking endpoint no longer existed.","High","Backend-API","Resolved"
"CV parsing merges multi-line education/company text into garbage strings","The CV structured-data extractor's line-context window mis-handled degree/institution/company text spanning multiple lines, producing corrupted multi-line concatenations.","Upload a CV whose education or work-experience section has degree, institution, and dates on separate lines.","Education/company fields extracted as clean, separate values.","Fields corrupted by unrelated adjacent lines being concatenated in.","Medium","AI-Service","Resolved"
"CV parsing never populated title/industry fields","MentorProfile.title and MentorProfile.industry were never actually mapped from the CV headline extraction, despite the schema and UI expecting them.","Upload a CV with a clear professional-title headline (e.g. 'Senior Software Engineer') and build the mentor profile.","title and industry populate on the mentor profile.","Both fields stayed null regardless of CV content.","Medium","Backend-API","Resolved"
"AI_interviewer and Rag_Chatbot both default to port 8000","Both Python services hardcode port 8000 as their default uvicorn port, colliding when both must run simultaneously for full app coverage (mentee interview + chatbot widget).","Start AI_interviewer and Rag_Chatbot both with default settings.","Both services start and bind their own port.","The second service fails to bind (port already in use).","Medium","AI-Service","Resolved"
"Rag_Chatbot fails to start — unresolved git merge conflict committed as source","backend/Rag_Chatbot/app/core/config.py had literal <<<<<<< / ======= / >>>>>>> conflict markers committed directly, causing a SyntaxError on import.","Start the Rag_Chatbot service (uvicorn main:app).","Service starts normally.","ImportError/SyntaxError before the app can even load.","Critical","AI-Service","Resolved"
"Mentor CV upload always crashes with a 500","pdfjs-dist 6.x explicitly rejects Node Buffer instances (requires a plain Uint8Array) in services/pdfTextService.js, but multer's memoryStorage() always hands the controller a real Buffer.","POST a real PDF to /api/mentors/:mentorId/cv as the owning mentor.","200, CV parsed and profile updated.","500 'Failed to parse CV' on every single request, regardless of PDF validity.","Critical","Backend-API","Resolved"
"AI_interviewer's mentee CSV export always crashes once any profile exists","export_csv() in services/interview_service.py passed session_id to MenteeProfile(...) both explicitly and via a dict-comprehension spread, causing 'got multiple values for keyword argument'.","Complete at least one AI interview, then GET /export/mentees.csv.","200, CSV file with header + one row per completed profile.","500 TypeError on every call once >=1 profile exists.","High","AI-Service","Resolved"
"Real production MongoDB Atlas credentials hardcoded as a fallback default in source","backend/AI_interviewer/core/config.py:36 hardcodes the exact same username/password as the real MONGO_URI in backend/.env as a fallback default for os.getenv(). Confirmed via git log -p this fallback was introduced replacing an earlier safe localhost default. .env itself is gitignored, but this literal is tracked in git history.","git log -p backend/AI_interviewer/core/config.py, or simply read the file: `mongo_uri=os.getenv(""MONGO_URI"", ""mongodb+srv://prolignco_db_user:...@prolign.s3kf9zd.mongodb.net/..."")`.","No real credentials ever appear in a fallback default or anywhere in git history; a missing MONGO_URI should fail loudly, not silently connect to production.","Anyone with repo/clone access has live Atlas credentials. If MONGO_URI is ever unset in any environment, the app silently connects to the production cluster.","Critical","Database","Open"
"POST /api/payments lets a client fabricate a fully 'captured' payment with an arbitrary amount, bypassing Stripe","services/paymentService.js createPayment() takes grossAmount, chargeStatus, and stripePaymentIntentId straight from the request body with no cross-check against the session's real price or any actual Stripe confirmation.","As any mentee, POST /api/payments with { sessionId, grossAmount: 0.01, chargeStatus: 'captured' }.","Payment amount/status should be derived from a real, server-verified Stripe charge, never trusted from the client.","The session gets paymentId set as if a real charge for the client-chosen amount succeeded — no Stripe call is ever made.","Critical","Backend-API","Open"
"POST /api/sessions accepts a client-supplied priceCharged that overrides the mentor's real price","services/sessionService.js:162 uses `body.priceCharged ?? profile?.pricePerSession ?? profile?.hourlyRate ?? 0` — a client-sent priceCharged always wins over the mentor's actual configured price, and Session.priceCharged has no min bound in the schema. This value later drives the real Stripe charge amount in createPaymentIntent.","As any mentee, POST /api/sessions with { mentorId, slotId, sessionType, priceCharged: 0 } (or a negative number).","priceCharged should be a server-computed snapshot of the mentor's real price, never accepted from the client, and schema-bounded to >= 0.","The session (and any resulting Stripe charge) is created at whatever price the mentee chooses, including 0 or negative.","Critical","Backend-API","Open"
"POST /api/interview/complete-ai silently discards interview data by writing to non-existent schema fields","services/interviewService.js completeInterview() (lines 73-104) $set's keys like education, careerGoals, domainInterest, softSkills, skillProfile, onboardingAnswers, interviewAnswers — none of which exist on the Mentee_Profiles schema (which uses snake_case: domain_interest, target_role, tech_skills, etc.). Mongoose's default strict:true silently drops unknown paths.","Call POST /api/interview/complete-ai with a full menteeRecord payload as a logged-in mentee.","All submitted fields (career goals, skills, target role, etc.) persist to the mentee's profile.","Only university/degree/bio/userId (fields that happen to also exist on the schema) persist. Everything else is silently discarded with no error.","Critical","Database","Open"
"Login for a Google-only account crashes with 500 and leaks an account-enumeration signal","A Google-signup user never gets a password set. Logging in with any password calls bcrypt.compare(password, undefined), which rejects with an uncaught, statusCode-less error -> the global error handler returns 500 with the raw bcrypt message, instead of the app's usual generic 401.","Sign up via Google OAuth, then POST /api/auth/login for that same email with any password.","401 'Invalid email or password' — identical to every other wrong-credential case, per the app's own anti-enumeration design.","500 Internal Server Error with a distinct bcrypt error message, revealing this account has no local password.","High","Backend-API","Open"
"createPaymentIntent has no amount validation and no pre-check before calling Stripe, risking duplicate PaymentIntents","Unlike createPayment, createPaymentIntent (services/paymentService.js:124-167) never validates session.priceCharged (NaN/negative/zero all pass through raw) and never checks for an existing Payment before calling Stripe — it relies entirely on a DB unique index that only fires AFTER the Stripe API call.","Double-click 'Pay' (or fire two concurrent requests) for the same session's create-intent endpoint.","Only one Stripe PaymentIntent is ever created per session; invalid amounts are rejected before reaching Stripe.","Two concurrent requests can each successfully create a separate Stripe PaymentIntent; only one Payment record saves locally, leaving an orphaned, chargeable PaymentIntent.","High","Backend-API","Open"
"Double-booking race condition on recurring availability slots","services/sessionService.js's rec- slotId booking path (lines 97-124) does a non-atomic read-then-write (check existingConcrete.status, then save) instead of the atomic findOneAndUpdate used by the one-off slot path a few lines below.","Fire two concurrent POST /api/sessions requests against the same recurring-template slot/date.","Only one booking succeeds; the second gets a 409.","Both requests can read status:available before either write lands, and both create a Session for the same slot.","High","Backend-API","Open"
"Google OAuth successful login redirects to a malformed double-slash URL, breaking the entire flow","authController.js builds `new URL(`${env.FRONTEND_URL}/auth/callback`)`. The current .env FRONTEND_URL has a trailing slash, producing pathname '//auth/callback', which the React Router route registered as '/auth/callback' does not match. The OAuth failure-redirect path (routes/auth.js) has the same issue plus uses unvalidated process.env.FRONTEND_URL directly (no fallback if unset).","Complete a real Google OAuth login with the current .env configuration.","Browser lands on /auth/callback and completes login.","Browser is redirected to a URL the frontend router can't match (404/blank page) — Google login does not complete.","High","Backend-API","Open"
"Conflicting index definitions on Mentee_Profiles.session_id between Node and Python","backend/models/Mentee_Profiles.js declares session_id as a plain (non-unique) indexed field, auto-creating index 'session_id_1'. backend/AI_interviewer/services/interview_service.py separately creates a UNIQUE index with the same default name on the same physical collection.","Start both the Node backend and the AI_interviewer service against the same database and inspect the Mentee_Profiles collection's indexes.","One consistent index definition (unique or not) agreed on by both services.","Whichever service creates its index second gets an IndexOptionsConflict, and the two services disagree on whether session_id should be unique.","High","Database","Open"
"MentorProfile has no index on the actual hot-path filter field (status), but carries a dead compound index","MentorProfile.js defines index({isApproved:1, isActive:1}) — but isActive does not exist anywhere in the schema, and isApproved is never used as a query filter anywhere in the codebase. Meanwhile every real mentor listing query (/api/mentors, /recommended, /:id) filters on status, which has no index at all.","Review MentorProfile.js's index definitions against the actual $match filters in mentorService.js's mentorPipeline/getMentorById/listMentorProfiles.","An index supporting the status filter that every browse/listing query actually uses.","The platform's primary mentor-browsing feature forces a collection scan at any real scale; the maintained index provides zero read benefit.","High","Database","Open"
"Rag_Chatbot has zero indexes on conversations/escalations, hit on every single chat turn","A full search of backend/Rag_Chatbot for create_index/createIndex returns no matches, despite conversation_selector.get_recent_messages and escalation_selector.find_pending being queried on every POST /chat and every GET /history/{session_id} call.","Review backend/Rag_Chatbot/app/selector/*.py's query filters against the conversations/escalations collections' actual indexes.","Indexes on at least session_id (and created_at for the history query) on both collections.","Every chat turn and history fetch does an unindexed collection scan, which will not scale.","High","Database","Open"
"No cascade cleanup on User deletion — dangling references across Session/Payment/Review/AvailabilitySlot","adminService.deleteUser() and userService.deleteAccount() cascade only to MentorProfile/MenteeProfileFlat. Session, Payment, Review, AvailabilitySlot, Notification, and ChatMessage documents referencing the deleted user's ObjectId are never touched.","As an admin, delete a mentor who has a confirmed future Session with a linked Payment.","Either the deletion is blocked while active sessions exist, or dependent records are cleaned up/flagged.","The Session, its AvailabilitySlot (still marked booked), and any linked Payment/Review all keep referencing a User._id that no longer exists, with no clean way to cancel/refund through normal flows.","High","Database","Open"
"Analytics page crashes for every mentor and admin — missing useEffect import","frontend/src/pages/Analytics.jsx only imports {useMemo, useState} from React, but its internal AnimatedNumber component (used by KPICard, rendered 16 times on page load) calls useEffect.","As a mentor or admin, navigate to /analytics.","Analytics dashboard renders with KPI cards and animated counters.","ReferenceError: useEffect is not defined — caught by the route-level ErrorBoundary, showing a generic 'Something went wrong' panel instead of the page. Analytics is 100% unusable for 2 of 3 roles.","High","Frontend","Open"
